,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,,2463397,[],CHEMBL965354,Inhibition of ASK1 by fluorescence correlation spectroscopy,B,,,BAO_0000190,BAO_0000357,single protein format,Cn1cc(/C=C2\C(=O)Nc3ccccc32)c2ccccc21,,,CHEMBL1157449,Bioorg Med Chem Lett,2008.0,,CHEMBL471375,,CHEMBL471375,,0,http://www.openphacts.org/units/Nanomolar,720193,>,1,1,>,,IC50,nM,,100000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,100.0
2,,,2463399,[],CHEMBL965354,Inhibition of ASK1 by fluorescence correlation spectroscopy,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL1157449,Bioorg Med Chem Lett,2008.0,"{'bei': '12.86', 'le': '0.23', 'lle': '1.65', 'sei': '8.64'}",CHEMBL388978,STAUROSPORINE,CHEMBL388978,6.00,0,http://www.openphacts.org/units/Nanomolar,720278,=,1,1,=,,IC50,nM,,1000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,1.0
3,,,2463400,[],CHEMBL965354,Inhibition of ASK1 by fluorescence correlation spectroscopy,B,,,BAO_0000190,BAO_0000357,single protein format,NC1=NC(=O)/C(=C2\CCNC(=O)c3[nH]c(Br)cc32)N1,,,CHEMBL1157449,Bioorg Med Chem Lett,2008.0,"{'bei': '15.90', 'le': '0.37', 'lle': '5.08', 'sei': '4.59'}",CHEMBL361708,HYMENIALDISINE,CHEMBL361708,5.16,0,http://www.openphacts.org/units/Nanomolar,720194,=,1,1,=,,IC50,nM,,7000.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,7.0
6,,,5138905,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '21.85', 'le': '0.40', 'lle': '3.78', 'sei': '12.23'}",CHEMBL1642655,,CHEMBL1642655,7.85,1,http://www.openphacts.org/units/Nanomolar,1317983,=,1,1,=,,IC50,nM,,14.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,14.0
7,,,5138906,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)c1ccc(C(=O)Nc2cn3c(ccc4ccccc43)n2)cc1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '22.78', 'le': '0.41', 'lle': '2.78', 'sei': '16.86'}",CHEMBL1642656,,CHEMBL1642656,7.82,0,http://www.openphacts.org/units/Nanomolar,1317984,=,1,1,=,,IC50,nM,,15.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,15.0
8,,,5138907,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C(=O)O)c1ccc(C(=O)Nc2cn3cc(-c4ccsc4)ccc3n2)cc1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '19.04', 'le': '0.36', 'lle': '3.04', 'sei': '9.22'}",CHEMBL1642657,,CHEMBL1642657,7.72,0,http://www.openphacts.org/units/Nanomolar,1317985,=,1,1,=,,IC50,nM,,19.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,nM,UO_0000065,,19.0
9,,,5138908,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(N)nc2[nH]cnc12,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '26.91', 'le': '0.55', 'lle': '4.22', 'sei': '6.06'}",CHEMBL1172777,,CHEMBL1172777,4.88,0,http://www.openphacts.org/units/Nanomolar,1318001,=,1,1,=,,IC50,nM,,13300.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,13.3
10,,,5138909,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCCN(CCC)c1[nH]cnc2ncnc1-2,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '20.92', 'le': '0.39', 'lle': '2.66', 'sei': '7.95'}",CHEMBL1410917,,CHEMBL1410917,4.59,0,http://www.openphacts.org/units/Nanomolar,1318005,=,1,1,=,,IC50,nM,,25800.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,25.8
11,,,5138910,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '18.60', 'le': '0.35', 'lle': '2.71', 'sei': '5.13'}",CHEMBL269881,,CHEMBL269881,4.60,0,http://www.openphacts.org/units/Nanomolar,1318004,=,1,1,=,,IC50,nM,,25100.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,25.1
12,,,5138911,[],CHEMBL1648128,Inhibition of ASK1 assessed as phosphorylated fluorescent peptide by mobility shift assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(OC)c(Nc2nc(N)nc3[nH]cnc23)c1,,,CHEMBL1641590,Bioorg Med Chem,2011.0,"{'bei': '16.50', 'le': '0.31', 'lle': '3.02', 'sei': '4.26'}",CHEMBL1642669,,CHEMBL1642669,4.72,0,http://www.openphacts.org/units/Nanomolar,1318003,=,1,1,=,,IC50,nM,,18900.0,CHEMBL5285,Homo sapiens,Mitogen-activated protein kinase kinase kinase 5,9606,,,IC50,uM,UO_0000065,,18.9
