,ID,inchikey,sdftitle,SMILES
0,NCGC00178831-03,PEJLNXHANOHNSU-UHFFFAOYSA-N,NCGC00178831-03,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
1,NCGC00166114-03,SEACYXSIPDVVMV-UHFFFAOYSA-L,NCGC00166114-03,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
2,NCGC00263563-01,WQGJEAMPBSZCIF-VEKNOCPUSA-N,NCGC00263563-01,CO[C@@H]1[C@@H](OC)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4OC4C[C@H](OC)[C@@H](OC)[C@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[NH4+]
3,NCGC00013058-02,CNYGFPPAGUCRIC-UHFFFAOYSA-L,NCGC00013058-02,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1.O=C(O)C(=O)O.O=C([O-])C(=O)O.O=C([O-])C(=O)O
4,NCGC00167516-01,LYCYLGFSIXIXAB-NUZRHMIVSA-N,NCGC00167516-01,CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
5,NCGC00018301-05,BFCDFTHTSVTWOG-UHFFFAOYSA-N,NCGC00018301-05,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
6,NCGC00249897-01,UEHLXXJAWYWUGI-UHFFFAOYSA-M,NCGC00249897-01,Cc1ccc([N+](=O)[O-])c2c1O[Hg]2
7,NCGC00016000-18,AUZONCFQVSMFAP-UHFFFAOYSA-N,NCGC00016000-18,CCN(CC)C(=S)SSC(=S)N(CC)CC
8,NCGC00181091-01,PBYJDHRFPFHVKZ-UHFFFAOYSA-N,NCGC00181091-01,CCCCCCOc1ccc(C(=N)N(CCCC)CCCC)c2ccccc12.Cl
9,NCGC00094089-01,MTJLQTFHJIHXIX-GDUXWEAWSA-N,NCGC00094089-01,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
10,NCGC00094996-01,BRJJFBHTDVWTCJ-UHFFFAOYSA-N,NCGC00094996-01,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC.Cl.Cl
11,NCGC00263579-01,JWEXHQAEWHKGCW-BIISKSHESA-N,NCGC00263579-01,Cl.O[C@@H](CNC[C@H](O)[C@H]1CCc2cc(F)ccc2O1)[C@@H]1CCc2cc(F)ccc2O1
12,NCGC00095016-05,HQVZOORKDNCGCK-UHFFFAOYSA-N,NCGC00095016-05,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
13,NCGC00095192-05,IKBKZGMPCYNSLU-RGVLZGJSSA-N,NCGC00095192-05,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12
14,NCGC00091258-05,VYWPPRLJNVHPEU-UHFFFAOYSA-N,NCGC00091258-05,O=C(CCl)c1ccc(Cl)cc1Cl
15,NCGC00263656-01,LPMXVESGRSUGHW-HBYQJFLCSA-N,NCGC00263656-01,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
16,NCGC00166121-03,CXRFDZFCGOPDTD-UHFFFAOYSA-M,NCGC00166121-03,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
17,NCGC00257773-01,OJIYIVCMRYCWSE-UHFFFAOYSA-M,NCGC00257773-01,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
18,NCGC00091023-06,DVBJBNKEBPCGSY-UHFFFAOYSA-M,NCGC00091023-06,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
19,NCGC00091112-09,ZXJXZNDDNMQXFV-UHFFFAOYSA-M,NCGC00091112-09,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]
